Year,Volume,Issue#,urls
2021,17,1,https://thescipub.com/jcs/issue/1273
2021,17,2,https://thescipub.com/jcs/issue/1288
2021,17,3,https://thescipub.com/jcs/issue/1292
2021,17,4,https://thescipub.com/jcs/issue/1299
2021,17,5,https://thescipub.com/jcs/issue/1303
2021,17,6,https://thescipub.com/jcs/issue/1307
2021,17,7,https://thescipub.com/jcs/issue/1313
2021,17,8,https://thescipub.com/jcs/issue/1314
2021,17,9,https://thescipub.com/jcs/issue/1315
2021,17,10,https://thescipub.com/jcs/issue/1318
2020,16,1,https://thescipub.com/jcs/issue/1214
2020,16,2,https://thescipub.com/jcs/issue/1215
2020,16,3,https://thescipub.com/jcs/issue/1227
2020,16,4,https://thescipub.com/jcs/issue/1234
2020,16,5,https://thescipub.com/jcs/issue/1240
2020,16,6,https://thescipub.com/jcs/issue/1245
2020,16,7,https://thescipub.com/jcs/issue/1248
2020,16,8,https://thescipub.com/jcs/issue/1253
2020,16,9,https://thescipub.com/jcs/issue/1254
2020,16,10,https://thescipub.com/jcs/issue/1255
2020,16,11,https://thescipub.com/jcs/issue/1263
2020,16,12,https://thescipub.com/jcs/issue/1266
2019,15,1,https://thescipub.com/jcs/issue/1136
2019,15,2,https://thescipub.com/jcs/issue/1140
2019,15,3,https://thescipub.com/jcs/issue/1144
2019,15,4,https://thescipub.com/jcs/issue/1156
2019,15,5,https://thescipub.com/jcs/issue/1159
2019,15,6,https://thescipub.com/jcs/issue/1174
2019,15,7,https://thescipub.com/jcs/issue/1183
2019,15,8,https://thescipub.com/jcs/issue/1187
2019,15,9,https://thescipub.com/jcs/issue/1192
2019,15,10,https://thescipub.com/jcs/issue/1197
2019,15,11,https://thescipub.com/jcs/issue/1200
2019,15,12,https://thescipub.com/jcs/issue/1206
2018,14,1,https://thescipub.com/jcs/issue/1064
2018,14,2,https://thescipub.com/jcs/issue/1067
2018,14,3,https://thescipub.com/jcs/issue/1073
2018,14,4,https://thescipub.com/jcs/issue/1086
2018,14,5,https://thescipub.com/jcs/issue/1091
2018,14,6,https://thescipub.com/jcs/issue/1093
2018,14,7,https://thescipub.com/jcs/issue/1101
2018,14,8,https://thescipub.com/jcs/issue/1105
2018,14,9,https://thescipub.com/jcs/issue/1118
2018,14,10,https://thescipub.com/jcs/issue/1109
2018,14,11,https://thescipub.com/jcs/issue/1121
2018,14,12,https://thescipub.com/jcs/issue/1128
2017,13,1,https://thescipub.com/jcs/issue/970
2017,13,2,https://thescipub.com/jcs/issue/985
2017,13,3,https://thescipub.com/jcs/issue/986
2017,13,4,https://thescipub.com/jcs/issue/989
2017,13,5,https://thescipub.com/jcs/issue/990
2017,13,6,https://thescipub.com/jcs/issue/1003
2017,13,7,https://thescipub.com/jcs/issue/1011
2017,13,8,https://thescipub.com/jcs/issue/1018
2017,13,9,https://thescipub.com/jcs/issue/1013
2017,13,10,https://thescipub.com/jcs/issue/1034
2017,13,11,https://thescipub.com/jcs/issue/1045
2017,13,12,https://thescipub.com/jcs/issue/1054
2016,12,1,https://thescipub.com/jcs/issue/892
2016,12,2,https://thescipub.com/jcs/issue/893
2016,12,3,https://thescipub.com/jcs/issue/904
2016,12,4,https://thescipub.com/jcs/issue/907
2016,12,5,https://thescipub.com/jcs/issue/909
2016,12,6,https://thescipub.com/jcs/issue/927
2016,12,7,https://thescipub.com/jcs/issue/934
2016,12,8,https://thescipub.com/jcs/issue/948
2016,12,9,https://thescipub.com/jcs/issue/950
2016,12,10,https://thescipub.com/jcs/issue/951
2016,12,11,https://thescipub.com/jcs/issue/967
2016,12,12,https://thescipub.com/jcs/issue/968
2015,11,1,https://thescipub.com/jcs/issue/748
2015,11,2,https://thescipub.com/jcs/issue/755
2015,11,3,https://thescipub.com/jcs/issue/798
2015,11,4,https://thescipub.com/jcs/issue/820
2015,11,5,https://thescipub.com/jcs/issue/833
2015,11,6,https://thescipub.com/jcs/issue/841
2015,11,7,https://thescipub.com/jcs/issue/847
2015,11,8,https://thescipub.com/jcs/issue/865
2015,11,9,https://thescipub.com/jcs/issue/873
2015,11,10,https://thescipub.com/jcs/issue/879
2015,11,11,https://thescipub.com/jcs/issue/882
2015,11,12,https://thescipub.com/jcs/issue/885
2014,10,1,https://thescipub.com/jcs/issue/668
2014,10,2,https://thescipub.com/jcs/issue/670
2014,10,3,https://thescipub.com/jcs/issue/671
2014,10,4,https://thescipub.com/jcs/issue/676
2014,10,5,https://thescipub.com/jcs/issue/688
2014,10,6,https://thescipub.com/jcs/issue/701
2014,10,7,https://thescipub.com/jcs/issue/704
2014,10,8,https://thescipub.com/jcs/issue/709
2014,10,9,https://thescipub.com/jcs/issue/718
2014,10,10,https://thescipub.com/jcs/issue/725
2014,10,11,https://thescipub.com/jcs/issue/730
2014,10,12,https://thescipub.com/jcs/issue/734
2013,9,1,https://thescipub.com/jcs/issue/600
2013,9,2,https://thescipub.com/jcs/issue/601
2013,9,3,https://thescipub.com/jcs/issue/574
2013,9,4,https://thescipub.com/jcs/issue/609
2013,9,5,https://thescipub.com/jcs/issue/610
2013,9,6,https://thescipub.com/jcs/issue/619
2013,9,7,https://thescipub.com/jcs/issue/623
2013,9,8,https://thescipub.com/jcs/issue/631
2013,9,9,https://thescipub.com/jcs/issue/637
2013,9,10,https://thescipub.com/jcs/issue/656
2013,9,11,https://thescipub.com/jcs/issue/660
2013,9,12,https://thescipub.com/jcs/issue/674
2012,8,1,https://thescipub.com/jcs/issue/468
2012,8,2,https://thescipub.com/jcs/issue/476
2012,8,3,https://thescipub.com/jcs/issue/489
2012,8,4,https://thescipub.com/jcs/issue/502
2012,8,5,https://thescipub.com/jcs/issue/506
2012,8,6,https://thescipub.com/jcs/issue/523
2012,8,7,https://thescipub.com/jcs/issue/533
2012,8,8,https://thescipub.com/jcs/issue/534
2012,8,9,https://thescipub.com/jcs/issue/547
2012,8,10,https://thescipub.com/jcs/issue/560
2012,8,11,https://thescipub.com/jcs/issue/562
2012,8,12,https://thescipub.com/jcs/issue/561
2011,7,1,https://thescipub.com/jcs/issue/386
2011,7,2,https://thescipub.com/jcs/issue/405
2011,7,3,https://thescipub.com/jcs/issue/408
2011,7,4,https://thescipub.com/jcs/issue/413
2011,7,5,https://thescipub.com/jcs/issue/418
2011,7,6,https://thescipub.com/jcs/issue/427
2011,7,7,https://thescipub.com/jcs/issue/431
2011,7,8,https://thescipub.com/jcs/issue/432
2011,7,9,https://thescipub.com/jcs/issue/439
2011,7,10,https://thescipub.com/jcs/issue/445
2011,7,11,https://thescipub.com/jcs/issue/452
2011,7,12,https://thescipub.com/jcs/issue/464
2010,6,1,https://thescipub.com/jcs/issue/298
2010,6,2,https://thescipub.com/jcs/issue/299
2010,6,3,https://thescipub.com/jcs/issue/300
2010,6,4,https://thescipub.com/jcs/issue/301
2010,6,5,https://thescipub.com/jcs/issue/302
2010,6,6,https://thescipub.com/jcs/issue/303
2010,6,7,https://thescipub.com/jcs/issue/304
2010,6,8,https://thescipub.com/jcs/issue/305
2010,6,9,https://thescipub.com/jcs/issue/306
2010,6,10,https://thescipub.com/jcs/issue/307
2010,6,11,https://thescipub.com/jcs/issue/372
2010,6,12,https://thescipub.com/jcs/issue/374
2009,5,1,https://thescipub.com/jcs/issue/287
2009,5,2,https://thescipub.com/jcs/issue/288
2009,5,3,https://thescipub.com/jcs/issue/289
2009,5,4,https://thescipub.com/jcs/issue/290
2009,5,5,https://thescipub.com/jcs/issue/291
2009,5,6,https://thescipub.com/jcs/issue/292
2009,5,7,https://thescipub.com/jcs/issue/293
2009,5,8,https://thescipub.com/jcs/issue/294
2009,5,9,https://thescipub.com/jcs/issue/251
2009,5,10,https://thescipub.com/jcs/issue/295
2009,5,11,https://thescipub.com/jcs/issue/296
2009,5,12,https://thescipub.com/jcs/issue/297
2008,4,1,https://thescipub.com/jcs/issue/275
2008,4,2,https://thescipub.com/jcs/issue/276
2008,4,3,https://thescipub.com/jcs/issue/277
2008,4,4,https://thescipub.com/jcs/issue/278
2008,4,5,https://thescipub.com/jcs/issue/279
2008,4,6,https://thescipub.com/jcs/issue/280
2008,4,7,https://thescipub.com/jcs/issue/281
2008,4,8,https://thescipub.com/jcs/issue/282
2008,4,9,https://thescipub.com/jcs/issue/283
2008,4,10,https://thescipub.com/jcs/issue/284
2008,4,11,https://thescipub.com/jcs/issue/285
2008,4,12,https://thescipub.com/jcs/issue/286
2007,3,1,https://thescipub.com/jcs/issue/263
2007,3,2,https://thescipub.com/jcs/issue/264
2007,3,3,https://thescipub.com/jcs/issue/265
2007,3,4,https://thescipub.com/jcs/issue/266
2007,3,5,https://thescipub.com/jcs/issue/267
2007,3,6,https://thescipub.com/jcs/issue/268
2007,3,7,https://thescipub.com/jcs/issue/269
2007,3,8,https://thescipub.com/jcs/issue/270
2007,3,9,https://thescipub.com/jcs/issue/271
2007,3,10,https://thescipub.com/jcs/issue/272
2007,3,11,https://thescipub.com/jcs/issue/273
2007,3,12,https://thescipub.com/jcs/issue/274
2006,2,1,https://thescipub.com/jcs/issue/250
2006,2,2,https://thescipub.com/jcs/issue/252
2006,2,3,https://thescipub.com/jcs/issue/253
2006,2,4,https://thescipub.com/jcs/issue/254
2006,2,5,https://thescipub.com/jcs/issue/255
2006,2,6,https://thescipub.com/jcs/issue/256
2006,2,7,https://thescipub.com/jcs/issue/257
2006,2,8,https://thescipub.com/jcs/issue/258
2006,2,9,https://thescipub.com/jcs/issue/259
2006,2,10,https://thescipub.com/jcs/issue/260
2006,2,11,https://thescipub.com/jcs/issue/261
2006,2,12,https://thescipub.com/jcs/issue/262
2005,1,1,https://thescipub.com/jcs/issue/246
2005,1,2,https://thescipub.com/jcs/issue/247
2005,1,3,https://thescipub.com/jcs/issue/248
2005,1,4,https://thescipub.com/jcs/issue/249
